ID,Data Center,App,Entry Time,WAN Duration
467,DC1,SES,1510599139259,148
243,DC1,SES,1510599139098,309
473,DC1,SES,1510599139263,145
248,DC1,SES,1510599139102,306
479,DC1,SES,1510599139268,140
255,DC1,SES,1510599139107,301
485,DC1,SES,1510599139275,133
261,DC1,SES,1510599139112,296
480,DC1,SES,1510599139269,140
267,DC1,SES,1510599139116,293
497,DC1,SES,1510599139283,127
273,DC1,SES,1510599139120,290
492,DC1,SES,1510599139280,131
279,DC1,SES,1510599139124,287
507,DC1,SES,1510599139291,120
285,DC1,SES,1510599139128,283
502,DC1,SES,1510599139286,125
280,DC1,SES,1510599139125,286
519,DC1,SES,1510599139301,111
297,DC1,SES,1510599139136,276
514,DC1,SES,1510599139298,114
292,DC1,SES,1510599139133,279
520,DC1,SES,1510599139302,110
307,DC1,SES,1510599139143,270
526,DC1,SES,1510599139305,108
302,DC1,SES,1510599139139,274
532,DC1,SES,1510599139308,105
319,DC1,SES,1510599139152,261
538,DC1,SES,1510599139312,102
314,DC1,SES,1510599139148,266
320,DC1,SES,1510599139153,261
326,DC1,SES,1510599139157,257
332,DC1,SES,1510599139160,255
338,DC1,SES,1510599139164,251
344,DC1,SES,1510599139169,246
351,DC1,SES,1510599139174,242
356,DC1,SES,1510599139177,239
363,DC1,SES,1510599139182,234
368,DC1,SES,1510599139185,232
375,DC1,SES,1510599139189,228
381,DC1,SES,1510599139194,223
387,DC1,SES,1510599139200,218
393,DC1,SES,1510599139205,213
399,DC1,SES,1510599139209,210
403,DC1,SES,1510599139212,207
409,DC1,SES,1510599139217,202
410,DC1,SES,1510599139218,202
415,DC1,SES,1510599139222,198
422,DC1,SES,1510599139228,192
427,DC1,SES,1510599139231,190
434,DC1,SES,1510599139236,185
439,DC1,SES,1510599139239,183
446,DC1,SES,1510599139244,178
440,DC1,SES,1510599139240,183
458,DC1,SES,1510599139252,171
452,DC1,SES,1510599139248,176
471,DC1,SES,1510599139262,162
464,DC1,SES,1510599139257,168
476,DC1,SES,1510599139265,160
483,DC1,SES,1510599139273,152
488,DC1,SES,1510599139278,147
495,DC1,SES,1510599139282,144
511,DC1,SES,1510599139296,130
505,DC1,SES,1510599139289,137
523,DC1,SES,1510599139303,123
517,DC1,SES,1510599139300,127
535,DC1,SES,1510599139310,117
529,DC1,SES,1510599139307,121
547,DC1,SES,1510599139317,111
530,DC1,SES,1510599139307,121
542,DC1,SES,1510599139314,115
559,DC1,SES,1510599139323,107
369,DC1,SES,1510599139185,284
371,DC1,SES,1510599139186,283
376,DC1,SES,1510599139190,280
370,DC1,SES,1510599139186,284
383,DC1,SES,1510599139196,274
388,DC1,SES,1510599139201,270
382,DC1,SES,1510599139195,276
395,DC1,SES,1510599139206,266
394,DC1,SES,1510599139205,267
405,DC1,SES,1510599139214,258
411,DC1,SES,1510599139218,255
404,DC1,SES,1510599139213,261
417,DC1,SES,1510599139224,251
423,DC1,SES,1510599139229,246
416,DC1,SES,1510599139223,253
429,DC1,SES,1510599139233,243
435,DC1,SES,1510599139237,240
428,DC1,SES,1510599139232,245
430,DC1,SES,1510599139233,244
447,DC1,SES,1510599139245,233
441,DC1,SES,1510599139241,237
442,DC1,SES,1510599139241,237
459,DC1,SES,1510599139253,226
453,DC1,SES,1510599139249,230
454,DC1,SES,1510599139250,230
460,DC1,SES,1510599139254,226
465,DC1,SES,1510599139257,223
466,DC1,SES,1510599139258,223
472,DC1,SES,1510599139262,219
477,DC1,SES,1510599139266,215
